,index,country
0,United States,650
1,United Kingdom,491
2,Canada,179
3,Australia,168
4,France,101
5,Brazil,99
6,Netherlands The,76
7,Italy,74
8,Argentina,60
9,Chile,60
10,Spain,60
11,Colombia,35
12,Switzerland,34
13,Mexico,32
14,New Zealand,31
15,China,19
16,Germany,17
17,Belgium,16
18,South Korea,12
19,Portugal,12
20,Peru,11
21,Denmark,11
22,Taiwan,11
23,Singapore,10
24,Hong Kong S.A.R.,10
25,Kenya,9
26,Ecuador,8
27,Paraguay,6
28,Japan,5
29,South Africa,5
30,India,5
31,Uruguay,5
32,Ireland,5
33,Poland,4
34,Luxembourg,3
35,Malaysia,3
36,Mauritius,3
37,Finland,3
38,Panama,3
39,Israel,2
40,Uganda,2
41,Thailand,2
42,Guatemala,2
43,Indonesia,2
44,Norway,2
45,Turkey,2
46,Senegal,2
47,Honduras,1
48,Hungary,1
49,Saudi Arabia,1
50,Ghana,1
51,Austria,1
52,Benin,1
53,Dominican Republic,1
54,Venezuela,1
55,Bolivia,1
56,Myanmar,1
57,Burkina Faso,1
58,Costa Rica,1
59,Sweden,1
60,Rwanda,1
