,index,industry_category
0,Professional & technical services,251
1,Retail,202
2,Manufactured Goods,106
3,Wholesale,92
4,"Information, communication & technology",51
5,"Agriculture, forestry & fishing",38
6,Financial & insurance activities,36
7,"Arts, entertainment & recreation",29
8,Other services,26
9,Administrative & support services,24
10,Accommodation & food service,20
11,Education,17
12,Human health & social work,12
13,"Real estate, design & building",10
14,Publishing - Print,4
15,Transportation & storage,4
16,Energy,3
17,"Energy, Heating & Cooling",2
18,Waste Management & Recycling,2
19,Construction,2
